Round,GP Name,Position,Driver No,Driver,Points,Championship Won
14,Rolex Belgian GP,9,14,Fernando Alonso,49,false
14,Rolex Belgian GP,10,18,Lance Stroll,24,false
14,Rolex Belgian GP,11,27,Nico Hulkenberg,22,false
14,Rolex Belgian GP,12,22,Yuki Tsunoda,22,false
14,Rolex Belgian GP,13,3,Daniel Ricciardo,12,false
14,Rolex Belgian GP,14,50,Oliver Bearman,6,false
14,Rolex Belgian GP,15,10,Pierre Gasly,6,false
14,Rolex Belgian GP,16,20,Kevin Magnussen,5,false
14,Rolex Belgian GP,17,31,Esteban Ocon,5,false
14,Rolex Belgian GP,18,23,Alexander Albon,4,false
14,Rolex Belgian GP,19,24,Guanyu Zhou,0,false
14,Rolex Belgian GP,20,2,Logan Sargeant,0,false
14,Rolex Belgian GP,21,77,Valtteri Bottas,0,false
15,Heineken Dutch GP,1,1,Max Verstappen,295,false
15,Heineken Dutch GP,2,4,Lando Norris,225,false
15,Heineken Dutch GP,3,16,Charles Leclerc,192,false
15,Heineken Dutch GP,4,81,Oscar Piastri,179,false
15,Heineken Dutch GP,5,55,Carlos Sainz,172,false
15,Heineken Dutch GP,6,44,Lewis Hamilton,154,false
15,Heineken Dutch GP,7,11,Sergio Perez,139,false
15,Heineken Dutch GP,8,63,George Russell,122,false
15,Heineken Dutch GP,9,14,Fernando Alonso,50,false
15,Heineken Dutch GP,10,18,Lance Stroll,24,false
15,Heineken Dutch GP,11,27,Nico Hulkenberg,22,false
15,Heineken Dutch GP,12,22,Yuki Tsunoda,22,false
15,Heineken Dutch GP,13,3,Daniel Ricciardo,12,false
15,Heineken Dutch GP,14,10,Pierre Gasly,8,false
15,Heineken Dutch GP,15,50,Oliver Bearman,6,false
15,Heineken Dutch GP,16,20,Kevin Magnussen,5,false
15,Heineken Dutch GP,17,31,Esteban Ocon,5,false
15,Heineken Dutch GP,18,23,Alexander Albon,4,false
15,Heineken Dutch GP,19,24,Guanyu Zhou,0,false
15,Heineken Dutch GP,20,2,Logan Sargeant,0,false
15,Heineken Dutch GP,21,77,Valtteri Bottas,0,false
16,Pirelli Gran Premio D'Italia,1,1,Max Verstappen,303,false
16,Pirelli Gran Premio D'Italia,2,4,Lando Norris,241,false
16,Pirelli Gran Premio D'Italia,3,16,Charles Leclerc,217,false
16,Pirelli Gran Premio D'Italia,4,81,Oscar Piastri,197,false
16,Pirelli Gran Premio D'Italia,5,55,Carlos Sainz,184,false
16,Pirelli Gran Premio D'Italia,6,44,Lewis Hamilton,164,false
16,Pirelli Gran Premio D'Italia,7,11,Sergio Perez,143,false
16,Pirelli Gran Premio D'Italia,8,63,George Russell,128,false
16,Pirelli Gran Premio D'Italia,9,14,Fernando Alonso,50,false
16,Pirelli Gran Premio D'Italia,10,18,Lance Stroll,24,false
16,Pirelli Gran Premio D'Italia,11,27,Nico Hulkenberg,22,false
16,Pirelli Gran Premio D'Italia,12,22,Yuki Tsunoda,22,false
16,Pirelli Gran Premio D'Italia,13,3,Daniel Ricciardo,12,false
16,Pirelli Gran Premio D'Italia,14,10,Pierre Gasly,8,false
16,Pirelli Gran Premio D'Italia,15,50,Oliver Bearman,6,false
16,Pirelli Gran Premio D'Italia,16,20,Kevin Magnussen,6,false
16,Pirelli Gran Premio D'Italia,17,23,Alexander Albon,6,false
16,Pirelli Gran Premio D'Italia,18,31,Esteban Ocon,5,false
16,Pirelli Gran Premio D'Italia,19,24,Guanyu Zhou,0,false
16,Pirelli Gran Premio D'Italia,20,2,Logan Sargeant,0,false
16,Pirelli Gran Premio D'Italia,21,43,Franco Colapinto,0,false
16,Pirelli Gran Premio D'Italia,22,77,Valtteri Bottas,0,false
17,Qatar Airways Azerbaijan GP,1,1,Max Verstappen,313,false
17,Qatar Airways Azerbaijan GP,2,4,Lando Norris,254,false
17,Qatar Airways Azerbaijan GP,3,16,Charles Leclerc,235,false
17,Qatar Airways Azerbaijan GP,4,81,Oscar Piastri,222,false
17,Qatar Airways Azerbaijan GP,5,55,Carlos Sainz,184,false
17,Qatar Airways Azerbaijan GP,6,44,Lewis Hamilton,166,false
17,Qatar Airways Azerbaijan GP,7,63,George Russell,143,false
17,Qatar Airways Azerbaijan GP,8,11,Sergio Perez,143,false
17,Qatar Airways Azerbaijan GP,9,14,Fernando Alonso,58,false
17,Qatar Airways Azerbaijan GP,10,18,Lance Stroll,24,false
17,Qatar Airways Azerbaijan GP,11,27,Nico Hulkenberg,22,false
17,Qatar Airways Azerbaijan GP,12,22,Yuki Tsunoda,22,false
17,Qatar Airways Azerbaijan GP,13,23,Alexander Albon,12,false
17,Qatar Airways Azerbaijan GP,14,3,Daniel Ricciardo,12,false
17,Qatar Airways Azerbaijan GP,15,10,Pierre Gasly,8,false
17,Qatar Airways Azerbaijan GP,16,50,Oliver Bearman,7,false
17,Qatar Airways Azerbaijan GP,17,20,Kevin Magnussen,6,false
17,Qatar Airways Azerbaijan GP,18,31,Esteban Ocon,5,false
17,Qatar Airways Azerbaijan GP,19,43,Franco Colapinto,4,false
17,Qatar Airways Azerbaijan GP,20,24,Guanyu Zhou,0,false
17,Qatar Airways Azerbaijan GP,21,2,Logan Sargeant,0,false
17,Qatar Airways Azerbaijan GP,22,77,Valtteri Bottas,0,false
18,Singapore Airlines Singapore GP,1,1,Max Verstappen,331,false
18,Singapore Airlines Singapore GP,2,4,Lando Norris,279,false
18,Singapore Airlines Singapore GP,3,16,Charles Leclerc,245,false
18,Singapore Airlines Singapore GP,4,81,Oscar Piastri,237,false
18,Singapore Airlines Singapore GP,5,55,Carlos Sainz,190,false
18,Singapore Airlines Singapore GP,6,44,Lewis Hamilton,174,false
18,Singapore Airlines Singapore GP,7,63,George Russell,155,false
18,Singapore Airlines Singapore GP,8,11,Sergio Perez,144,false
18,Singapore Airlines Singapore GP,9,14,Fernando Alonso,62,false
18,Singapore Airlines Singapore GP,10,27,Nico Hulkenberg,24,false
18,Singapore Airlines Singapore GP,11,18,Lance Stroll,24,false
18,Singapore Airlines Singapore GP,12,22,Yuki Tsunoda,22,false
18,Singapore Airlines Singapore GP,13,23,Alexander Albon,12,false
18,Singapore Airlines Singapore GP,14,3,Daniel Ricciardo,12,false
18,Singapore Airlines Singapore GP,15,10,Pierre Gasly,8,false
18,Singapore Airlines Singapore GP,16,50,Oliver Bearman,7,false
18,Singapore Airlines Singapore GP,17,20,Kevin Magnussen,6,false
18,Singapore Airlines Singapore GP,18,31,Esteban Ocon,5,false
18,Singapore Airlines Singapore GP,19,43,Franco Colapinto,4,false
18,Singapore Airlines Singapore GP,20,24,Guanyu Zhou,0,false
18,Singapore Airlines Singapore GP,21,2,Logan Sargeant,0,false
18,Singapore Airlines Singapore GP,22,77,Valtteri Bottas,0,false
19,Pirelli United States GP,1,1,Max Verstappen,354,false
19,Pirelli United States GP,2,4,Lando Norris,297,false
19,Pirelli United States GP,3,16,Charles Leclerc,275,false
19,Pirelli United States GP,4,81,Oscar Piastri,247,false
19,Pirelli United States GP,5,55,Carlos Sainz,215,false
19,Pirelli United States GP,6,44,Lewis Hamilton,177,false
19,Pirelli United States GP,7,63,George Russell,167,false
19,Pirelli United States GP,8,11,Sergio Perez,150,false
19,Pirelli United States GP,9,14,Fernando Alonso,62,false
19,Pirelli United States GP,10,27,Nico Hulkenberg,29,false
19,Pirelli United States GP,11,18,Lance Stroll,24,false
19,Pirelli United States GP,12,22,Yuki Tsunoda,22,false
19,Pirelli United States GP,13,23,Alexander Albon,12,false
19,Pirelli United States GP,14,3,Daniel Ricciardo,12,false
19,Pirelli United States GP,15,20,Kevin Magnussen,8,false
19,Pirelli United States GP,16,10,Pierre Gasly,8,false
19,Pirelli United States GP,17,50,Oliver Bearman,7,false
19,Pirelli United States GP,18,43,Franco Colapinto,5,false
19,Pirelli United States GP,19,31,Esteban Ocon,5,false
19,Pirelli United States GP,20,30,Liam Lawson,2,false
19,Pirelli United States GP,21,24,Guanyu Zhou,0,false
19,Pirelli United States GP,22,2,Logan Sargeant,0,false
19,Pirelli United States GP,23,77,Valtteri Bottas,0,false
20,Gran Premio de la Ciudad de México,1,1,Max Verstappen,362,false
20,Gran Premio de la Ciudad de México,2,4,Lando Norris,315,false
20,Gran Premio de la Ciudad de México,3,16,Charles Leclerc,291,false
20,Gran Premio de la Ciudad de México,4,81,Oscar Piastri,251,false
20,Gran Premio de la Ciudad de México,5,55,Carlos Sainz,240,false
20,Gran Premio de la Ciudad de México,6,44,Lewis Hamilton,189,false
20,Gran Premio de la Ciudad de México,7,63,George Russell,177,false
20,Gran Premio de la Ciudad de México,8,11,Sergio Perez,150,false
20,Gran Premio de la Ciudad de México,9,14,Fernando Alonso,62,false
20,Gran Premio de la Ciudad de México,10,27,Nico Hulkenberg,31,false
20,Gran Premio de la Ciudad de México,11,18,Lance Stroll,24,false
20,Gran Premio de la Ciudad de México,12,22,Yuki Tsunoda,22,false
20,Gran Premio de la Ciudad de México,13,20,Kevin Magnussen,14,false
20,Gran Premio de la Ciudad de México,14,23,Alexander Albon,12,false
20,Gran Premio de la Ciudad de México,15,3,Daniel Ricciardo,12,false
20,Gran Premio de la Ciudad de México,16,10,Pierre Gasly,9,false
20,Gran Premio de la Ciudad de México,17,50,Oliver Bearman,7,false
